Area,n_measurements,waterbody_type,query,latitude,longitude
"Slaney _ Wexford Harbour, SLANEY_140",165,River,SLANEY,52.65662,-6.65117
"Upper Shannon (F), Sheelin",163,Lake,Sheelin,53.8,-7.31667
"Corrib, NANNY (TUAM)_030",163,River,NANNY,53.66667,-6.23333
"Ovoca-Vartry, GLENEALO_020",162,River,GLENEALO,53.0,-6.30167
"Erne, DROMORE_040",162,River,DROMORE,52.91962,-8.97256
"Lower Shannon (A), CLODIAGH (TULLAMORE)_030",162,River,CLODIAGH,52.29,-7.28583
"Suir, SUIR_110",161,River,SUIR,52.27333,-6.99556
"Slaney _ Wexford Harbour, SLANEY_010",161,River,SLANEY,52.65662,-6.65117
"Lough Neagh _ Lower Bann, BLACKWATER (MONAGHAN)_010",161,River,BLACKWATER,51.85,-9.75
"Cork Harbour, Moy Killala, SHOURNAGH_030",160,River,SHOURNAGH,51.89833,-8.57111
"Shannon Estuary South, BUNOKE_010",159,River,BUNOKE,52.405,-9.00472
"Lower Shannon (A), SILVER (KILCORMAC)_030",159,River,SILVER,53.24333,-7.79139
"Cork Harbour, Moy Killala, MOY_070",158,River,MOY,54.18524,-9.1396
"Moy _ Killala Bay, MOY_070",158,River,MOY,54.18524,-9.1396
"Moy _ Killala Bay, TRIMOGE_030",158,River,TRIMOGE,53.91199,-9.02275
"Moy _ Killala Bay, CASTLEBAR_040",158,River,CASTLEBAR,53.83893,-9.3466
"Upper Shannon (B), BOYLE_040",158,River,BOYLE,53.95889,-8.11167
"Lower Shannon (A), TULLAMORE_020",157,River,TULLAMORE,53.27722,-7.5775
"Moy _ Killala Bay, CORROY_010",157,River,CORROY,54.06556,-9.18167
"Moy _ Killala Bay, YELLOW (FOXFORD)_020",156,River,YELLOW,53.38556,-7.08361
"Lower Shannon (A), BROSNA_120",156,River,BROSNA,53.16556,-8.075
"Sligo Bay _ Drowse, Gill SO",156,Lake,Gill SO,,
"Lower Shannon (A), BROSNA_130",156,River,BROSNA,53.16556,-8.075
"Cork Harbour, Moy Killala, TRIMOGE_030",156,River,TRIMOGE,53.91199,-9.02275
"Nore, NORE_180",156,River,NORE,52.42417,-6.95806
"Boyne, BOYNE_080",156,River,BOYNE,53.72236,-6.24629
"Boyne, BOYNE_070",156,River,BOYNE,53.72236,-6.24629
